"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"471","Alabat Island Agta","Critically endangered",14.1209,122.0282
"472","Karajarri","Critically endangered",-19.0205,122.3437
"473","Mangarla","Critically endangered",-20.159,122.6513
"474","Ata","Critically endangered",9.6081,122.9155
"475","Isarog Agta","Critically endangered",13.6805,123.3805
"476","Lolak","Critically endangered",0.8569,124.0081
"477","Southern Ayta","Critically endangered",13.027,124.1549
"478","Manchurian Kirghiz","Critically endangered",47.8,124.2
"479","Manchu (Nonni)","Critically endangered",48.0083,124.3542
"480","Worrorra","Critically endangered",-16.4887,124.6289
"481","Wunambal","Critically endangered",-15.6124,125.0024
"482","Aputai","Critically endangered",-7.6511,126.4086
"483","Jeju","Critically endangered",33.3671,126.4974
"484","Maku'a","Critically endangered",-8.4017,127.2271
"485","Manchu (Amur)","Critically endangered",49.7666,127.5
"486","Ibu","Critically endangered",1.5269,127.5265
"487","Dagur (Amur)","Critically endangered",49.5252,127.5402
"488","Yiiji","Critically endangered",-15.8458,127.6281
"489","Kamarian","Critically endangered",-3.4366,128.5345
"490","Hulung","Critically endangered",-2.8614,128.5606
"491","Ngardi","Critically endangered",-20.6327,128.5839
"492","Gajerrong","Critically endangered",-15.222,128.6059
"493","Paulohi","Critically endangered",-3.2721,128.757
"494","Nusa Laut","Critically endangered",-3.6833,128.8
"495","Loun","Critically endangered",-2.8717,128.8366
"496","Miriwoong","Critically endangered",-16.7631,128.9025
"497","Amahai","Critically endangered",-3.3352,128.9314
